Energy Source,URL
Solar,https://www.eia.gov/energyexplained/solar/
Wind,https://www.eia.gov/energyexplained/wind/
Coal,https://www.eia.gov/energyexplained/coal/
Nuclear,https://www.eia.gov/energyexplained/nuclear/
Hydroelectric,https://www.eia.gov/energyexplained/hydropower/
Natural gas,https://www.eia.gov/energyexplained/natural-gas/
Petroleum,https://www.eia.gov/energyexplained/oil-and-petroleum-products/
