GEOID,Geographic Area Name,Population
0500000US05049,"Fulton County, Arkansas",12075
0500000US05051,"Garland County, Arkansas",100180
0500000US05053,"Grant County, Arkansas",17958
0500000US05055,"Greene County, Arkansas",45736
0500000US05057,"Hempstead County, Arkansas",20065
0500000US05059,"Hot Spring County, Arkansas",33040
0500000US05061,"Howard County, Arkansas",12785
0500000US05063,"Independence County, Arkansas",37938
0500000US05065,"Izard County, Arkansas",13577
0500000US05067,"Jackson County, Arkansas",16755
0500000US05069,"Jefferson County, Arkansas",67260
0500000US05071,"Johnson County, Arkansas",25749
0500000US05073,"Lafayette County, Arkansas",6308
0500000US05075,"Lawrence County, Arkansas",16216
0500000US05077,"Lee County, Arkansas",8600
0500000US05079,"Lincoln County, Arkansas",12941
0500000US05081,"Little River County, Arkansas",12026
0500000US05083,"Logan County, Arkansas",21131
0500000US05085,"Lonoke County, Arkansas",74015
0500000US05087,"Madison County, Arkansas",16521
0500000US05089,"Marion County, Arkansas",16826
0500000US05091,"Miller County, Arkansas",42600
0500000US05093,"Mississippi County, Arkansas",40685
0500000US05095,"Monroe County, Arkansas",6799
0500000US05097,"Montgomery County, Arkansas",8484
0500000US05099,"Nevada County, Arkansas",8310
0500000US05101,"Newton County, Arkansas",7225
0500000US05103,"Ouachita County, Arkansas",22650
0500000US05105,"Perry County, Arkansas",10019
0500000US05107,"Phillips County, Arkansas",16568
0500000US05109,"Pike County, Arkansas",10171
0500000US05111,"Poinsett County, Arkansas",22965
0500000US05113,"Polk County, Arkansas",19221
0500000US05115,"Pope County, Arkansas",63381
0500000US05117,"Prairie County, Arkansas",8282
0500000US05119,"Pulaski County, Arkansas",399125
0500000US05121,"Randolph County, Arkansas",18571
0500000US05123,"St. Francis County, Arkansas",23090
0500000US05125,"Saline County, Arkansas",123416
0500000US05127,"Scott County, Arkansas",9836
0500000US05129,"Searcy County, Arkansas",7828
0500000US05131,"Sebastian County, Arkansas",127799
0500000US05133,"Sevier County, Arkansas",15839
0500000US05135,"Sharp County, Arkansas",17271
0500000US05137,"Stone County, Arkansas",12359
0500000US05139,"Union County, Arkansas",39054
0500000US05141,"Van Buren County, Arkansas",15796
0500000US05143,"Washington County, Arkansas",245871
0500000US05145,"White County, Arkansas",76822
0500000US05147,"Woodruff County, Arkansas",6269
0500000US05149,"Yell County, Arkansas",20263
0500000US06001,"Alameda County, California",1682353
0500000US06003,"Alpine County, California",1204
0500000US06005,"Amador County, California",40474
0500000US06007,"Butte County, California",211632
0500000US06009,"Calaveras County, California",45292
0500000US06011,"Colusa County, California",21839
0500000US06013,"Contra Costa County, California",1165927
0500000US06015,"Del Norte County, California",27743
0500000US06017,"El Dorado County, California",191185
0500000US06019,"Fresno County, California",1008654
0500000US06021,"Glenn County, California",28917
0500000US06023,"Humboldt County, California",136463
0500000US06025,"Imperial County, California",179702
0500000US06027,"Inyo County, California",19016
0500000US06029,"Kern County, California",909235
0500000US06031,"Kings County, California",152486
0500000US06033,"Lake County, California",68163
0500000US06035,"Lassen County, California",32730
0500000US06037,"Los Angeles County, California",10014009
0500000US06039,"Madera County, California",156255
0500000US06041,"Marin County, California",262321
0500000US06043,"Mariposa County, California",17131
0500000US06045,"Mendocino County, California",91601
0500000US06047,"Merced County, California",281202
0500000US06049,"Modoc County, California",8700
0500000US06051,"Mono County, California",13195
0500000US06053,"Monterey County, California",439035
0500000US06055,"Napa County, California",138019
0500000US06057,"Nevada County, California",102241
0500000US06059,"Orange County, California",3186989
0500000US06061,"Placer County, California",404739
0500000US06063,"Plumas County, California",19790
0500000US06065,"Riverside County, California",2418185
0500000US06067,"Sacramento County, California",1585055
0500000US06069,"San Benito County, California",64209
0500000US06071,"San Bernardino County, California",2181654
0500000US06073,"San Diego County, California",3298634
0500000US06075,"San Francisco County, California",873965
0500000US06077,"San Joaquin County, California",779233
0500000US06079,"San Luis Obispo County, California",282424
0500000US06081,"San Mateo County, California",764442
0500000US06083,"Santa Barbara County, California",448229
0500000US06085,"Santa Clara County, California",1936259
0500000US06087,"Santa Cruz County, California",270861
0500000US06089,"Shasta County, California",182155
0500000US06091,"Sierra County, California",3236
0500000US06093,"Siskiyou County, California",44076
0500000US06095,"Solano County, California",453491
0500000US06097,"Sonoma County, California",488863
0500000US06099,"Stanislaus County, California",552878
0500000US06101,"Sutter County, California",99633
0500000US06103,"Tehama County, California",65829
0500000US06105,"Trinity County, California",16112
0500000US06107,"Tulare County, California",473117
0500000US06109,"Tuolumne County, California",55620
0500000US06111,"Ventura County, California",843843
0500000US06113,"Yolo County, California",216403
0500000US06115,"Yuba County, California",81575
0500000US08001,"Adams County, Colorado",519572
0500000US08003,"Alamosa County, Colorado",16376
0500000US08005,"Arapahoe County, Colorado",655070
0500000US08007,"Archuleta County, Colorado",13359
0500000US08009,"Baca County, Colorado",3506
0500000US08011,"Bent County, Colorado",5650
0500000US08013,"Boulder County, Colorado",330758
0500000US08014,"Broomfield County, Colorado",74112
0500000US08015,"Chaffee County, Colorado",19476
0500000US08017,"Cheyenne County, Colorado",1748
0500000US08019,"Clear Creek County, Colorado",9397
0500000US08021,"Conejos County, Colorado",7461
0500000US08023,"Costilla County, Colorado",3499
0500000US08025,"Crowley County, Colorado",5922
0500000US08027,"Custer County, Colorado",4704
0500000US08029,"Delta County, Colorado",31196
0500000US08031,"Denver County, Colorado",715522
0500000US08033,"Dolores County, Colorado",2326
0500000US08035,"Douglas County, Colorado",357978
0500000US08037,"Eagle County, Colorado",55731
0500000US08039,"Elbert County, Colorado",26062
0500000US08041,"El Paso County, Colorado",730395
0500000US08043,"Fremont County, Colorado",48939
0500000US08045,"Garfield County, Colorado",61685
0500000US08047,"Gilpin County, Colorado",5808
0500000US08049,"Grand County, Colorado",15717
0500000US08051,"Gunnison County, Colorado",16918
0500000US08053,"Hinsdale County, Colorado",788
0500000US08055,"Huerfano County, Colorado",6820
0500000US08057,"Jackson County, Colorado",1379
0500000US08059,"Jefferson County, Colorado",582910
0500000US08061,"Kiowa County, Colorado",1446
0500000US08063,"Kit Carson County, Colorado",7087
0500000US08065,"Lake County, Colorado",7436
0500000US08067,"La Plata County, Colorado",55638
0500000US08069,"Larimer County, Colorado",359066
0500000US08071,"Las Animas County, Colorado",14555
0500000US08073,"Lincoln County, Colorado",5675
0500000US08075,"Logan County, Colorado",21528
0500000US08077,"Mesa County, Colorado",155703
0500000US08079,"Mineral County, Colorado",865
0500000US08081,"Moffat County, Colorado",13292
0500000US08083,"Montezuma County, Colorado",25849
0500000US08085,"Montrose County, Colorado",42679
0500000US08087,"Morgan County, Colorado",29111
0500000US08089,"Otero County, Colorado",18690
0500000US08091,"Ouray County, Colorado",4874
0500000US08093,"Park County, Colorado",17390
0500000US08095,"Phillips County, Colorado",4530
0500000US08097,"Pitkin County, Colorado",17358
0500000US08099,"Prowers County, Colorado",11999
0500000US08101,"Pueblo County, Colorado",168162
0500000US08103,"Rio Blanco County, Colorado",6529
0500000US08105,"Rio Grande County, Colorado",11539
0500000US08107,"Routt County, Colorado",24829
0500000US08109,"Saguache County, Colorado",6368
0500000US08111,"San Juan County, Colorado",705
0500000US08113,"San Miguel County, Colorado",8072
0500000US08115,"Sedgwick County, Colorado",2404
0500000US08117,"Summit County, Colorado",31055
0500000US08119,"Teller County, Colorado",24710
0500000US08121,"Washington County, Colorado",4817
0500000US08123,"Weld County, Colorado",328981
0500000US08125,"Yuma County, Colorado",9988
0500000US09001,"Fairfield County, Connecticut",957419
0500000US09003,"Hartford County, Connecticut",899498
0500000US09005,"Litchfield County, Connecticut",185186
0500000US09007,"Middlesex County, Connecticut",164245
0500000US09009,"New Haven County, Connecticut",864835
0500000US09011,"New London County, Connecticut",268555
0500000US09013,"Tolland County, Connecticut",149788
0500000US09015,"Windham County, Connecticut",116418
0500000US10001,"Kent County, Delaware",181851
0500000US10003,"New Castle County, Delaware",570719
0500000US10005,"Sussex County, Delaware",237378
0500000US11001,"District of Columbia, District of Columbia",689545
0500000US12001,"Alachua County, Florida",278468
0500000US12003,"Baker County, Florida",28259
0500000US12005,"Bay County, Florida",175216
0500000US12007,"Bradford County, Florida",28303
0500000US12009,"Brevard County, Florida",606612
0500000US12011,"Broward County, Florida",1944375
0500000US12013,"Calhoun County, Florida",13648
0500000US12015,"Charlotte County, Florida",186847
0500000US12017,"Citrus County, Florida",153843
0500000US12019,"Clay County, Florida",218245
0500000US12021,"Collier County, Florida",375752
0500000US12023,"Columbia County, Florida",69698
0500000US12027,"DeSoto County, Florida",33976
0500000US12029,"Dixie County, Florida",16759
0500000US12031,"Duval County, Florida",995567
0500000US12033,"Escambia County, Florida",321905
0500000US12035,"Flagler County, Florida",115378
0500000US12037,"Franklin County, Florida",12451
0500000US12039,"Gadsden County, Florida",43826
0500000US12041,"Gilchrist County, Florida",17864
0500000US12043,"Glades County, Florida",12126
0500000US12045,"Gulf County, Florida",14192
0500000US12047,"Hamilton County, Florida",14004
0500000US12049,"Hardee County, Florida",25327
0500000US12051,"Hendry County, Florida",39619
0500000US12053,"Hernando County, Florida",194515
0500000US12055,"Highlands County, Florida",101235
0500000US12057,"Hillsborough County, Florida",1459762
0500000US12059,"Holmes County, Florida",19653
0500000US12061,"Indian River County, Florida",159788
0500000US12063,"Jackson County, Florida",47319
0500000US12065,"Jefferson County, Florida",14510
0500000US12067,"Lafayette County, Florida",8226
0500000US12069,"Lake County, Florida",383956
0500000US12071,"Lee County, Florida",760822
0500000US12073,"Leon County, Florida",292198
0500000US12075,"Levy County, Florida",42915
0500000US12077,"Liberty County, Florida",7974
0500000US12079,"Madison County, Florida",17968
0500000US12081,"Manatee County, Florida",399710
0500000US12083,"Marion County, Florida",375908
0500000US12085,"Martin County, Florida",158431
0500000US12086,"Miami-Dade County, Florida",2701767
0500000US12087,"Monroe County, Florida",82874
0500000US12089,"Nassau County, Florida",90352
0500000US12091,"Okaloosa County, Florida",211668
0500000US12093,"Okeechobee County, Florida",39644
0500000US12095,"Orange County, Florida",1429908
0500000US12097,"Osceola County, Florida",388656
0500000US12099,"Palm Beach County, Florida",1492191
0500000US12101,"Pasco County, Florida",561891
0500000US12103,"Pinellas County, Florida",959107
0500000US12105,"Polk County, Florida",725046
0500000US12107,"Putnam County, Florida",73321
0500000US12109,"St. Johns County, Florida",273425
0500000US12111,"St. Lucie County, Florida",329226
0500000US12113,"Santa Rosa County, Florida",188000
0500000US12115,"Sarasota County, Florida",434006
0500000US12117,"Seminole County, Florida",470856
0500000US12119,"Sumter County, Florida",129752
0500000US12121,"Suwannee County, Florida",43474
0500000US12123,"Taylor County, Florida",21796
0500000US12125,"Union County, Florida",16147
0500000US12127,"Volusia County, Florida",553543
0500000US12129,"Wakulla County, Florida",33764
0500000US12131,"Walton County, Florida",75305
0500000US12133,"Washington County, Florida",25318
0500000US13001,"Appling County, Georgia",18444
0500000US13003,"Atkinson County, Georgia",8286
0500000US13005,"Bacon County, Georgia",11140
0500000US13007,"Baker County, Georgia",2876
0500000US13009,"Baldwin County, Georgia",43799
0500000US13011,"Banks County, Georgia",18035
0500000US13013,"Barrow County, Georgia",83505
0500000US13015,"Bartow County, Georgia",108901
0500000US13017,"Ben Hill County, Georgia",17194
0500000US13019,"Berrien County, Georgia",18160
0500000US13021,"Bibb County, Georgia",157346
0500000US13023,"Bleckley County, Georgia",12583
0500000US13025,"Brantley County, Georgia",18021
0500000US13027,"Brooks County, Georgia",16301
0500000US13029,"Bryan County, Georgia",44738
0500000US13031,"Bulloch County, Georgia",81099
0500000US13033,"Burke County, Georgia",24596
0500000US13035,"Butts County, Georgia",25434
0500000US13037,"Calhoun County, Georgia",5573
0500000US13039,"Camden County, Georgia",54768
0500000US13043,"Candler County, Georgia",10981
0500000US13045,"Carroll County, Georgia",119148
0500000US13047,"Catoosa County, Georgia",67872
0500000US13049,"Charlton County, Georgia",12518
0500000US13051,"Chatham County, Georgia",295291
0500000US13053,"Chattahoochee County, Georgia",9565
0500000US13055,"Chattooga County, Georgia",24965
0500000US13057,"Cherokee County, Georgia",266620
0500000US13059,"Clarke County, Georgia",128671
0500000US13061,"Clay County, Georgia",2848
0500000US13063,"Clayton County, Georgia",297595
0500000US13065,"Clinch County, Georgia",6749
0500000US13067,"Cobb County, Georgia",766149
0500000US13069,"Coffee County, Georgia",43092
0500000US13071,"Colquitt County, Georgia",45898
0500000US13073,"Columbia County, Georgia",156010
0500000US13075,"Cook County, Georgia",17229
0500000US13077,"Coweta County, Georgia",146158
0500000US13079,"Crawford County, Georgia",12130
0500000US13081,"Crisp County, Georgia",20128
0500000US13083,"Dade County, Georgia",16251
0500000US13085,"Dawson County, Georgia",26798
0500000US13087,"Decatur County, Georgia",29367
0500000US13089,"DeKalb County, Georgia",764382
0500000US13091,"Dodge County, Georgia",19925
0500000US13093,"Dooly County, Georgia",11208
0500000US13095,"Dougherty County, Georgia",85790
0500000US13097,"Douglas County, Georgia",144237
0500000US13099,"Early County, Georgia",10854
0500000US13101,"Echols County, Georgia",3697
0500000US13103,"Effingham County, Georgia",64769
0500000US13105,"Elbert County, Georgia",19637
0500000US13107,"Emanuel County, Georgia",22768
0500000US13109,"Evans County, Georgia",10774
0500000US13111,"Fannin County, Georgia",25319
0500000US13113,"Fayette County, Georgia",119194
0500000US13115,"Floyd County, Georgia",98584
0500000US13117,"Forsyth County, Georgia",251283
0500000US13119,"Franklin County, Georgia",23424
0500000US13121,"Fulton County, Georgia",1066710
0500000US13123,"Gilmer County, Georgia",31353
0500000US13125,"Glascock County, Georgia",2884
0500000US13127,"Glynn County, Georgia",84499
0500000US13129,"Gordon County, Georgia",57544
0500000US13131,"Grady County, Georgia",26236
0500000US13133,"Greene County, Georgia",18915
0500000US13135,"Gwinnett County, Georgia",957062
0500000US13137,"Habersham County, Georgia",46031
0500000US13139,"Hall County, Georgia",203136
0500000US13141,"Hancock County, Georgia",8735
0500000US13143,"Haralson County, Georgia",29919
0500000US13145,"Harris County, Georgia",34668
0500000US13147,"Hart County, Georgia",25828
0500000US13149,"Heard County, Georgia",11412
0500000US13151,"Henry County, Georgia",240712
0500000US13153,"Houston County, Georgia",163633
0500000US13155,"Irwin County, Georgia",9666
0500000US13157,"Jackson County, Georgia",75907
0500000US13159,"Jasper County, Georgia",14588
0500000US13161,"Jeff Davis County, Georgia",14779
0500000US13163,"Jefferson County, Georgia",15709
0500000US13165,"Jenkins County, Georgia",8674
0500000US13167,"Johnson County, Georgia",9189
0500000US13169,"Jones County, Georgia",28347
0500000US13171,"Lamar County, Georgia",18500
0500000US13173,"Lanier County, Georgia",9877
0500000US13175,"Laurens County, Georgia",49570
0500000US13177,"Lee County, Georgia",33163
0500000US13179,"Liberty County, Georgia",65256
0500000US13181,"Lincoln County, Georgia",7690
0500000US13183,"Long County, Georgia",16168
0500000US13185,"Lowndes County, Georgia",118251
0500000US13187,"Lumpkin County, Georgia",33488
0500000US13189,"McDuffie County, Georgia",21632
0500000US13191,"McIntosh County, Georgia",10975
0500000US13193,"Macon County, Georgia",12082
0500000US13195,"Madison County, Georgia",30120
0500000US13197,"Marion County, Georgia",7498
0500000US13199,"Meriwether County, Georgia",20613
0500000US13201,"Miller County, Georgia",6000
0500000US13205,"Mitchell County, Georgia",21755
0500000US13207,"Monroe County, Georgia",27957
0500000US13209,"Montgomery County, Georgia",8610
0500000US13211,"Morgan County, Georgia",20097
0500000US13213,"Murray County, Georgia",39973
0500000US13215,"Muscogee County, Georgia",206922
0500000US13217,"Newton County, Georgia",112483
0500000US13219,"Oconee County, Georgia",41799
0500000US13221,"Oglethorpe County, Georgia",14825
0500000US13223,"Paulding County, Georgia",168661
0500000US13225,"Peach County, Georgia",27981
0500000US13227,"Pickens County, Georgia",33216
0500000US13229,"Pierce County, Georgia",19716
0500000US13231,"Pike County, Georgia",18889
0500000US13233,"Polk County, Georgia",42853
0500000US13235,"Pulaski County, Georgia",9855
0500000US13237,"Putnam County, Georgia",22047
0500000US13239,"Quitman County, Georgia",2235
0500000US13241,"Rabun County, Georgia",16883
0500000US13243,"Randolph County, Georgia",6425
0500000US13245,"Richmond County, Georgia",206607
0500000US13247,"Rockdale County, Georgia",93570
0500000US13249,"Schley County, Georgia",4547
0500000US13251,"Screven County, Georgia",14067
0500000US13253,"Seminole County, Georgia",9147
0500000US13255,"Spalding County, Georgia",67306
0500000US13257,"Stephens County, Georgia",26784
0500000US13259,"Stewart County, Georgia",5314
0500000US13261,"Sumter County, Georgia",29616
0500000US13263,"Talbot County, Georgia",5733
0500000US13265,"Taliaferro County, Georgia",1559
0500000US13267,"Tattnall County, Georgia",22842
0500000US13269,"Taylor County, Georgia",7816
0500000US13271,"Telfair County, Georgia",12477
0500000US13273,"Terrell County, Georgia",9185
0500000US13275,"Thomas County, Georgia",45798
0500000US13277,"Tift County, Georgia",41344
0500000US13279,"Toombs County, Georgia",27030
0500000US13281,"Towns County, Georgia",12493
0500000US13283,"Treutlen County, Georgia",6406
0500000US13285,"Troup County, Georgia",69426
0500000US13287,"Turner County, Georgia",9006
0500000US13289,"Twiggs County, Georgia",8022
0500000US13291,"Union County, Georgia",24632
0500000US13293,"Upson County, Georgia",27700
0500000US13295,"Walker County, Georgia",67654
0500000US13297,"Walton County, Georgia",96673
0500000US13299,"Ware County, Georgia",36251
0500000US13301,"Warren County, Georgia",5215
0500000US13303,"Washington County, Georgia",19988
0500000US13305,"Wayne County, Georgia",30144
0500000US13307,"Webster County, Georgia",2348
0500000US13309,"Wheeler County, Georgia",7471
0500000US13311,"White County, Georgia",28003
0500000US13313,"Whitfield County, Georgia",102864
0500000US13315,"Wilcox County, Georgia",8766
0500000US13317,"Wilkes County, Georgia",9565
0500000US13319,"Wilkinson County, Georgia",8877
0500000US13321,"Worth County, Georgia",20784
0500000US15001,"Hawaii County, Hawaii",200629
0500000US15003,"Honolulu County, Hawaii",1016508
0500000US15005,"Kalawao County, Hawaii",82
0500000US15007,"Kauai County, Hawaii",73298
0500000US15009,"Maui County, Hawaii",164754
0500000US16001,"Ada County, Idaho",494967
0500000US16003,"Adams County, Idaho",4379
0500000US16005,"Bannock County, Idaho",87018
0500000US16007,"Bear Lake County, Idaho",6372
0500000US16009,"Benewah County, Idaho",9530
0500000US16011,"Bingham County, Idaho",47992
0500000US16013,"Blaine County, Idaho",24272
0500000US16015,"Boise County, Idaho",7610
0500000US16017,"Bonner County, Idaho",47110
0500000US16019,"Bonneville County, Idaho",123964
0500000US16021,"Boundary County, Idaho",12056
0500000US16023,"Butte County, Idaho",2574
0500000US16025,"Camas County, Idaho",1077
0500000US16027,"Canyon County, Idaho",231105
0500000US16029,"Caribou County, Idaho",7027
0500000US16031,"Cassia County, Idaho",24655
0500000US16033,"Clark County, Idaho",790
0500000US16035,"Clearwater County, Idaho",8734
0500000US16037,"Custer County, Idaho",4275
0500000US16039,"Elmore County, Idaho",28666
0500000US16041,"Franklin County, Idaho",14194
0500000US16043,"Fremont County, Idaho",13388
