GEOID,Geographic Area Name,Population
0500000US17071,"Henderson County, Illinois",6387
0500000US17073,"Henry County, Illinois",49284
0500000US17075,"Iroquois County, Illinois",27077
0500000US17077,"Jackson County, Illinois",52974
0500000US17079,"Jasper County, Illinois",9287
0500000US17081,"Jefferson County, Illinois",37113
0500000US17083,"Jersey County, Illinois",21512
0500000US17085,"Jo Daviess County, Illinois",22035
0500000US17087,"Johnson County, Illinois",13308
0500000US17089,"Kane County, Illinois",516522
0500000US17091,"Kankakee County, Illinois",107502
0500000US17093,"Kendall County, Illinois",131869
0500000US17095,"Knox County, Illinois",49967
0500000US17097,"Lake County, Illinois",714342
0500000US17099,"LaSalle County, Illinois",109658
0500000US17101,"Lawrence County, Illinois",15280
0500000US17103,"Lee County, Illinois",34145
0500000US17105,"Livingston County, Illinois",35815
0500000US17107,"Logan County, Illinois",27987
0500000US17109,"McDonough County, Illinois",27238
0500000US17111,"McHenry County, Illinois",310229
0500000US17113,"McLean County, Illinois",170954
0500000US17115,"Macon County, Illinois",103998
0500000US17117,"Macoupin County, Illinois",44967
0500000US17119,"Madison County, Illinois",265859
0500000US17121,"Marion County, Illinois",37729
0500000US17123,"Marshall County, Illinois",11742
0500000US17125,"Mason County, Illinois",13086
0500000US17127,"Massac County, Illinois",14169
0500000US17129,"Menard County, Illinois",12297
0500000US17131,"Mercer County, Illinois",15699
0500000US17133,"Monroe County, Illinois",34962
0500000US17135,"Montgomery County, Illinois",28288
0500000US17137,"Morgan County, Illinois",32915
0500000US17139,"Moultrie County, Illinois",14526
0500000US17141,"Ogle County, Illinois",51788
0500000US17143,"Peoria County, Illinois",181830
0500000US17145,"Perry County, Illinois",20945
0500000US17147,"Piatt County, Illinois",16673
0500000US17149,"Pike County, Illinois",14739
0500000US17151,"Pope County, Illinois",3763
0500000US17153,"Pulaski County, Illinois",5193
0500000US17155,"Putnam County, Illinois",5637
0500000US17157,"Randolph County, Illinois",30163
0500000US17159,"Richland County, Illinois",15813
0500000US17161,"Rock Island County, Illinois",144672
0500000US17163,"St. Clair County, Illinois",257400
0500000US17165,"Saline County, Illinois",23768
0500000US17167,"Sangamon County, Illinois",196343
0500000US17169,"Schuyler County, Illinois",6902
0500000US17171,"Scott County, Illinois",4949
0500000US17173,"Shelby County, Illinois",20990
0500000US17175,"Stark County, Illinois",5400
0500000US17177,"Stephenson County, Illinois",44630
0500000US17179,"Tazewell County, Illinois",131343
0500000US17181,"Union County, Illinois",17244
0500000US17183,"Vermilion County, Illinois",74188
0500000US17185,"Wabash County, Illinois",11361
0500000US17187,"Warren County, Illinois",16835
0500000US17189,"Washington County, Illinois",13761
0500000US17191,"Wayne County, Illinois",16179
0500000US17193,"White County, Illinois",13877
0500000US17195,"Whiteside County, Illinois",55691
0500000US17197,"Will County, Illinois",696355
0500000US17199,"Williamson County, Illinois",67153
0500000US17201,"Winnebago County, Illinois",285350
0500000US17203,"Woodford County, Illinois",38467
0500000US18001,"Adams County, Indiana",35809
0500000US18003,"Allen County, Indiana",385410
0500000US18005,"Bartholomew County, Indiana",82208
0500000US18007,"Benton County, Indiana",8719
0500000US18009,"Blackford County, Indiana",12112
0500000US18011,"Boone County, Indiana",70812
0500000US18013,"Brown County, Indiana",15475
0500000US18015,"Carroll County, Indiana",20306
0500000US18017,"Cass County, Indiana",37870
0500000US18019,"Clark County, Indiana",121093
0500000US18021,"Clay County, Indiana",26466
0500000US18023,"Clinton County, Indiana",33190
0500000US18025,"Crawford County, Indiana",10526
0500000US18027,"Daviess County, Indiana",33381
0500000US18029,"Dearborn County, Indiana",50679
0500000US18031,"Decatur County, Indiana",26472
0500000US18033,"DeKalb County, Indiana",43265
0500000US18035,"Delaware County, Indiana",111903
0500000US18037,"Dubois County, Indiana",43637
0500000US18039,"Elkhart County, Indiana",207047
0500000US18041,"Fayette County, Indiana",23398
0500000US18043,"Floyd County, Indiana",80484
0500000US18045,"Fountain County, Indiana",16479
0500000US18047,"Franklin County, Indiana",22785
0500000US18049,"Fulton County, Indiana",20480
0500000US18051,"Gibson County, Indiana",33011
0500000US18053,"Grant County, Indiana",66674
0500000US18055,"Greene County, Indiana",30803
0500000US18057,"Hamilton County, Indiana",347467
0500000US18059,"Hancock County, Indiana",79840
0500000US18061,"Harrison County, Indiana",39654
0500000US18063,"Hendricks County, Indiana",174788
0500000US18065,"Henry County, Indiana",48914
0500000US18067,"Howard County, Indiana",83658
0500000US18069,"Huntington County, Indiana",36662
0500000US18071,"Jackson County, Indiana",46428
0500000US18073,"Jasper County, Indiana",32918
0500000US18075,"Jay County, Indiana",20478
0500000US18077,"Jefferson County, Indiana",33147
0500000US18079,"Jennings County, Indiana",27613
0500000US18081,"Johnson County, Indiana",161765
0500000US18083,"Knox County, Indiana",36282
0500000US18085,"Kosciusko County, Indiana",80240
0500000US18087,"LaGrange County, Indiana",40446
0500000US18089,"Lake County, Indiana",498700
0500000US18091,"LaPorte County, Indiana",112417
0500000US18093,"Lawrence County, Indiana",45011
0500000US18095,"Madison County, Indiana",130129
0500000US18097,"Marion County, Indiana",977203
0500000US18099,"Marshall County, Indiana",46095
0500000US18101,"Martin County, Indiana",9812
0500000US18103,"Miami County, Indiana",35962
0500000US18105,"Monroe County, Indiana",139718
0500000US18107,"Montgomery County, Indiana",37936
0500000US18109,"Morgan County, Indiana",71780
0500000US18111,"Newton County, Indiana",13830
0500000US18113,"Noble County, Indiana",47457
0500000US18115,"Ohio County, Indiana",5940
0500000US18117,"Orange County, Indiana",19867
0500000US18119,"Owen County, Indiana",21321
0500000US18121,"Parke County, Indiana",16156
0500000US18123,"Perry County, Indiana",19170
0500000US18125,"Pike County, Indiana",12250
0500000US18127,"Porter County, Indiana",173215
0500000US18129,"Posey County, Indiana",25222
0500000US18131,"Pulaski County, Indiana",12514
0500000US18133,"Putnam County, Indiana",36726
0500000US18135,"Randolph County, Indiana",24502
0500000US18137,"Ripley County, Indiana",28995
0500000US18139,"Rush County, Indiana",16752
0500000US18141,"St. Joseph County, Indiana",272912
0500000US18143,"Scott County, Indiana",24384
0500000US18145,"Shelby County, Indiana",45055
0500000US18147,"Spencer County, Indiana",19810
0500000US18149,"Starke County, Indiana",23371
0500000US18151,"Steuben County, Indiana",34435
0500000US18153,"Sullivan County, Indiana",20817
0500000US18155,"Switzerland County, Indiana",9737
0500000US18157,"Tippecanoe County, Indiana",186251
0500000US18159,"Tipton County, Indiana",15359
0500000US18161,"Union County, Indiana",7087
0500000US18163,"Vanderburgh County, Indiana",180136
0500000US18165,"Vermillion County, Indiana",15439
0500000US18167,"Vigo County, Indiana",106153
0500000US18169,"Wabash County, Indiana",30976
0500000US18171,"Warren County, Indiana",8440
0500000US18173,"Warrick County, Indiana",63898
0500000US18175,"Washington County, Indiana",28182
0500000US18177,"Wayne County, Indiana",66553
0500000US18179,"Wells County, Indiana",28180
0500000US18181,"White County, Indiana",24688
0500000US18183,"Whitley County, Indiana",34191
0500000US19001,"Adair County, Iowa",7496
0500000US19003,"Adams County, Iowa",3704
0500000US19005,"Allamakee County, Iowa",14061
0500000US19007,"Appanoose County, Iowa",12317
0500000US19009,"Audubon County, Iowa",5674
0500000US19011,"Benton County, Iowa",25575
0500000US19013,"Black Hawk County, Iowa",131144
0500000US19015,"Boone County, Iowa",26715
0500000US19017,"Bremer County, Iowa",24988
0500000US19019,"Buchanan County, Iowa",20565
0500000US19021,"Buena Vista County, Iowa",20823
0500000US19023,"Butler County, Iowa",14334
0500000US19025,"Calhoun County, Iowa",9927
0500000US19027,"Carroll County, Iowa",20760
0500000US19029,"Cass County, Iowa",13127
0500000US19031,"Cedar County, Iowa",18505
0500000US19033,"Cerro Gordo County, Iowa",43127
0500000US19035,"Cherokee County, Iowa",11658
0500000US19037,"Chickasaw County, Iowa",12012
0500000US19039,"Clarke County, Iowa",9748
0500000US19041,"Clay County, Iowa",16384
0500000US19043,"Clayton County, Iowa",17043
0500000US19045,"Clinton County, Iowa",46460
0500000US19047,"Crawford County, Iowa",16525
0500000US19049,"Dallas County, Iowa",99678
0500000US19051,"Davis County, Iowa",9110
0500000US19053,"Decatur County, Iowa",7645
0500000US19055,"Delaware County, Iowa",17488
0500000US19057,"Des Moines County, Iowa",38910
0500000US19059,"Dickinson County, Iowa",17703
0500000US19061,"Dubuque County, Iowa",99266
0500000US19063,"Emmet County, Iowa",9388
0500000US19065,"Fayette County, Iowa",19509
0500000US19067,"Floyd County, Iowa",15627
0500000US19069,"Franklin County, Iowa",10019
0500000US19071,"Fremont County, Iowa",6605
0500000US19073,"Greene County, Iowa",8771
0500000US19075,"Grundy County, Iowa",12329
0500000US19077,"Guthrie County, Iowa",10623
0500000US19079,"Hamilton County, Iowa",15039
0500000US19081,"Hancock County, Iowa",10795
0500000US19083,"Hardin County, Iowa",16878
0500000US19085,"Harrison County, Iowa",14582
0500000US19087,"Henry County, Iowa",20482
0500000US19089,"Howard County, Iowa",9469
0500000US19091,"Humboldt County, Iowa",9597
0500000US19093,"Ida County, Iowa",7005
0500000US19095,"Iowa County, Iowa",16662
0500000US19097,"Jackson County, Iowa",19485
0500000US19099,"Jasper County, Iowa",37813
0500000US19101,"Jefferson County, Iowa",15663
0500000US19103,"Johnson County, Iowa",152854
0500000US19105,"Jones County, Iowa",20646
0500000US19107,"Keokuk County, Iowa",10033
0500000US19109,"Kossuth County, Iowa",14828
0500000US19111,"Lee County, Iowa",33555
0500000US19113,"Linn County, Iowa",230299
0500000US19115,"Louisa County, Iowa",10837
0500000US19117,"Lucas County, Iowa",8634
0500000US19119,"Lyon County, Iowa",11934
0500000US19121,"Madison County, Iowa",16548
0500000US19123,"Mahaska County, Iowa",22190
0500000US19125,"Marion County, Iowa",33414
0500000US19127,"Marshall County, Iowa",40105
0500000US19129,"Mills County, Iowa",14484
0500000US19131,"Mitchell County, Iowa",10565
0500000US19133,"Monona County, Iowa",8751
0500000US19135,"Monroe County, Iowa",7577
0500000US19137,"Montgomery County, Iowa",10330
0500000US19139,"Muscatine County, Iowa",43235
0500000US19141,"O'Brien County, Iowa",14182
0500000US19143,"Osceola County, Iowa",6192
0500000US19145,"Page County, Iowa",15211
0500000US19147,"Palo Alto County, Iowa",8996
0500000US19149,"Plymouth County, Iowa",25698
0500000US19151,"Pocahontas County, Iowa",7078
0500000US19153,"Polk County, Iowa",492401
0500000US19155,"Pottawattamie County, Iowa",93667
0500000US19157,"Poweshiek County, Iowa",18662
0500000US19159,"Ringgold County, Iowa",4663
0500000US19161,"Sac County, Iowa",9814
0500000US19163,"Scott County, Iowa",174669
0500000US19165,"Shelby County, Iowa",11746
0500000US19167,"Sioux County, Iowa",35872
0500000US19169,"Story County, Iowa",98537
0500000US19171,"Tama County, Iowa",17135
0500000US19173,"Taylor County, Iowa",5896
0500000US19175,"Union County, Iowa",12138
0500000US19177,"Van Buren County, Iowa",7203
0500000US19179,"Wapello County, Iowa",35437
0500000US19181,"Warren County, Iowa",52403
0500000US19183,"Washington County, Iowa",22565
0500000US19185,"Wayne County, Iowa",6497
0500000US19187,"Webster County, Iowa",36999
0500000US19189,"Winnebago County, Iowa",10679
0500000US19191,"Winneshiek County, Iowa",20070
0500000US19193,"Woodbury County, Iowa",105941
0500000US19195,"Worth County, Iowa",7443
0500000US19197,"Wright County, Iowa",12943
0500000US20001,"Allen County, Kansas",12526
0500000US20003,"Anderson County, Kansas",7836
0500000US20005,"Atchison County, Kansas",16348
0500000US20007,"Barber County, Kansas",4228
0500000US20009,"Barton County, Kansas",25493
0500000US20011,"Bourbon County, Kansas",14360
0500000US20013,"Brown County, Kansas",9508
0500000US20015,"Butler County, Kansas",67380
0500000US20017,"Chase County, Kansas",2572
0500000US20019,"Chautauqua County, Kansas",3379
0500000US20021,"Cherokee County, Kansas",19362
0500000US20023,"Cheyenne County, Kansas",2616
0500000US20025,"Clark County, Kansas",1991
0500000US20027,"Clay County, Kansas",8117
0500000US20029,"Cloud County, Kansas",9032
0500000US20031,"Coffey County, Kansas",8360
0500000US20033,"Comanche County, Kansas",1689
0500000US20035,"Cowley County, Kansas",34549
0500000US20037,"Crawford County, Kansas",38972
0500000US20039,"Decatur County, Kansas",2764
0500000US20041,"Dickinson County, Kansas",18402
0500000US20043,"Doniphan County, Kansas",7510
0500000US20045,"Douglas County, Kansas",118785
0500000US20047,"Edwards County, Kansas",2907
0500000US20049,"Elk County, Kansas",2483
0500000US20051,"Ellis County, Kansas",28934
0500000US20053,"Ellsworth County, Kansas",6376
0500000US20055,"Finney County, Kansas",38470
0500000US20057,"Ford County, Kansas",34287
0500000US20059,"Franklin County, Kansas",25996
0500000US20061,"Geary County, Kansas",36739
0500000US20063,"Gove County, Kansas",2718
0500000US20065,"Graham County, Kansas",2415
0500000US20067,"Grant County, Kansas",7352
0500000US20069,"Gray County, Kansas",5653
0500000US20071,"Greeley County, Kansas",1284
0500000US20073,"Greenwood County, Kansas",6016
0500000US20075,"Hamilton County, Kansas",2518
0500000US20077,"Harper County, Kansas",5485
0500000US20079,"Harvey County, Kansas",34024
0500000US20081,"Haskell County, Kansas",3780
0500000US20083,"Hodgeman County, Kansas",1723
0500000US20085,"Jackson County, Kansas",13232
0500000US20087,"Jefferson County, Kansas",18368
0500000US20089,"Jewell County, Kansas",2932
0500000US20091,"Johnson County, Kansas",609863
0500000US20093,"Kearny County, Kansas",3983
0500000US20095,"Kingman County, Kansas",7470
0500000US20097,"Kiowa County, Kansas",2460
0500000US20099,"Labette County, Kansas",20184
0500000US20101,"Lane County, Kansas",1574
0500000US20103,"Leavenworth County, Kansas",81881
0500000US20105,"Lincoln County, Kansas",2939
0500000US20107,"Linn County, Kansas",9591
0500000US20109,"Logan County, Kansas",2762
0500000US20111,"Lyon County, Kansas",32179
0500000US20113,"McPherson County, Kansas",30223
0500000US20115,"Marion County, Kansas",11823
0500000US20117,"Marshall County, Kansas",10038
0500000US20119,"Meade County, Kansas",4055
0500000US20121,"Miami County, Kansas",34191
0500000US20123,"Mitchell County, Kansas",5796
0500000US20125,"Montgomery County, Kansas",31486
0500000US20127,"Morris County, Kansas",5386
0500000US20129,"Morton County, Kansas",2701
0500000US20131,"Nemaha County, Kansas",10273
0500000US20133,"Neosho County, Kansas",15904
0500000US20135,"Ness County, Kansas",2687
0500000US20137,"Norton County, Kansas",5459
0500000US20139,"Osage County, Kansas",15766
0500000US20141,"Osborne County, Kansas",3500
0500000US20143,"Ottawa County, Kansas",5735
0500000US20145,"Pawnee County, Kansas",6253
0500000US20147,"Phillips County, Kansas",4981
0500000US20149,"Pottawatomie County, Kansas",25348
0500000US20151,"Pratt County, Kansas",9157
0500000US20153,"Rawlins County, Kansas",2561
0500000US20155,"Reno County, Kansas",61898
0500000US20157,"Republic County, Kansas",4674
0500000US20159,"Rice County, Kansas",9427
0500000US20161,"Riley County, Kansas",71959
0500000US20163,"Rooks County, Kansas",4919
0500000US20165,"Rush County, Kansas",2956
0500000US20167,"Russell County, Kansas",6691
0500000US20169,"Saline County, Kansas",54303
0500000US20171,"Scott County, Kansas",5151
0500000US20173,"Sedgwick County, Kansas",523824
0500000US20175,"Seward County, Kansas",21964
0500000US20177,"Shawnee County, Kansas",178909
0500000US20179,"Sheridan County, Kansas",2447
0500000US20181,"Sherman County, Kansas",5927
0500000US20183,"Smith County, Kansas",3570
0500000US20185,"Stafford County, Kansas",4072
0500000US20187,"Stanton County, Kansas",2084
0500000US20189,"Stevens County, Kansas",5250
0500000US20191,"Sumner County, Kansas",22382
0500000US20193,"Thomas County, Kansas",7930
0500000US20195,"Trego County, Kansas",2808
0500000US20197,"Wabaunsee County, Kansas",6877
0500000US20199,"Wallace County, Kansas",1512
0500000US20201,"Washington County, Kansas",5530
0500000US20203,"Wichita County, Kansas",2152
0500000US20205,"Wilson County, Kansas",8624
0500000US20207,"Woodson County, Kansas",3115
0500000US20209,"Wyandotte County, Kansas",169245
0500000US21001,"Adair County, Kentucky",18903
0500000US21003,"Allen County, Kentucky",20588
0500000US21005,"Anderson County, Kentucky",23852
0500000US21007,"Ballard County, Kentucky",7728
0500000US21009,"Barren County, Kentucky",44485
0500000US21011,"Bath County, Kentucky",12750
0500000US21013,"Bell County, Kentucky",24097
0500000US21015,"Boone County, Kentucky",135968
0500000US21017,"Bourbon County, Kentucky",20252
0500000US21019,"Boyd County, Kentucky",48261
0500000US21021,"Boyle County, Kentucky",30614
0500000US21023,"Bracken County, Kentucky",8400
0500000US21025,"Breathitt County, Kentucky",13718
0500000US21027,"Breckinridge County, Kentucky",20432
0500000US21029,"Bullitt County, Kentucky",82217
0500000US21031,"Butler County, Kentucky",12371
0500000US21033,"Caldwell County, Kentucky",12649
0500000US21035,"Calloway County, Kentucky",37103
0500000US21037,"Campbell County, Kentucky",93076
0500000US21039,"Carlisle County, Kentucky",4826
0500000US21041,"Carroll County, Kentucky",10810
0500000US21043,"Carter County, Kentucky",26627
0500000US21045,"Casey County, Kentucky",15941
0500000US21047,"Christian County, Kentucky",72748
0500000US21049,"Clark County, Kentucky",36972
0500000US21051,"Clay County, Kentucky",20345
0500000US21053,"Clinton County, Kentucky",9253
0500000US21055,"Crittenden County, Kentucky",8990
0500000US21057,"Cumberland County, Kentucky",5888
0500000US21059,"Daviess County, Kentucky",103312
0500000US21061,"Edmonson County, Kentucky",12126
0500000US21063,"Elliott County, Kentucky",7354
0500000US21065,"Estill County, Kentucky",14163
0500000US21067,"Fayette County, Kentucky",322570
0500000US21069,"Fleming County, Kentucky",15082
0500000US21071,"Floyd County, Kentucky",35942
0500000US21073,"Franklin County, Kentucky",51541
0500000US21075,"Fulton County, Kentucky",6515
0500000US21077,"Gallatin County, Kentucky",8690
0500000US21079,"Garrard County, Kentucky",16953
0500000US21081,"Grant County, Kentucky",24941
0500000US21083,"Graves County, Kentucky",36649
0500000US21085,"Grayson County, Kentucky",26420
0500000US21087,"Green County, Kentucky",11107
0500000US21089,"Greenup County, Kentucky",35962
0500000US21091,"Hancock County, Kentucky",9095
0500000US21093,"Hardin County, Kentucky",110702
0500000US21095,"Harlan County, Kentucky",26831
0500000US21097,"Harrison County, Kentucky",18692
0500000US21099,"Hart County, Kentucky",19288
0500000US21101,"Henderson County, Kentucky",44793
0500000US21103,"Henry County, Kentucky",15678
0500000US21105,"Hickman County, Kentucky",4521
0500000US21107,"Hopkins County, Kentucky",45423
0500000US21109,"Jackson County, Kentucky",12955
0500000US21111,"Jefferson County, Kentucky",782969
0500000US21113,"Jessamine County, Kentucky",52991
0500000US21115,"Johnson County, Kentucky",22680
0500000US21117,"Kenton County, Kentucky",169064
0500000US21119,"Knott County, Kentucky",14251
0500000US21121,"Knox County, Kentucky",30193
0500000US21123,"Larue County, Kentucky",14867
0500000US21125,"Laurel County, Kentucky",62613
0500000US21127,"Lawrence County, Kentucky",16293
0500000US21129,"Lee County, Kentucky",7395
0500000US21131,"Leslie County, Kentucky",10513
0500000US21133,"Letcher County, Kentucky",21548
0500000US21135,"Lewis County, Kentucky",13080
0500000US21137,"Lincoln County, Kentucky",24275
0500000US21139,"Livingston County, Kentucky",8888
0500000US21141,"Logan County, Kentucky",27432
0500000US21143,"Lyon County, Kentucky",8680
0500000US21145,"McCracken County, Kentucky",67875
0500000US21147,"McCreary County, Kentucky",16888
0500000US21149,"McLean County, Kentucky",9152
0500000US21151,"Madison County, Kentucky",92701
0500000US21153,"Magoffin County, Kentucky",11637
0500000US21155,"Marion County, Kentucky",19581
0500000US21157,"Marshall County, Kentucky",31659
0500000US21159,"Martin County, Kentucky",11287
0500000US21161,"Mason County, Kentucky",17120
0500000US21163,"Meade County, Kentucky",30003
0500000US21165,"Menifee County, Kentucky",6113
0500000US21167,"Mercer County, Kentucky",22641
0500000US21169,"Metcalfe County, Kentucky",10286
0500000US21171,"Monroe County, Kentucky",11338
0500000US21173,"Montgomery County, Kentucky",28114
0500000US21175,"Morgan County, Kentucky",13726
0500000US21177,"Muhlenberg County, Kentucky",30928
0500000US21179,"Nelson County, Kentucky",46738
0500000US21181,"Nicholas County, Kentucky",7537
0500000US21183,"Ohio County, Kentucky",23772
0500000US21185,"Oldham County, Kentucky",67607
0500000US21187,"Owen County, Kentucky",11278
0500000US21189,"Owsley County, Kentucky",4051
0500000US21191,"Pendleton County, Kentucky",14644
0500000US21193,"Perry County, Kentucky",28473
0500000US21195,"Pike County, Kentucky",58669
0500000US21197,"Powell County, Kentucky",13129
0500000US21199,"Pulaski County, Kentucky",65034
0500000US21201,"Robertson County, Kentucky",2193
0500000US21203,"Rockcastle County, Kentucky",16037
0500000US21205,"Rowan County, Kentucky",24662
0500000US21207,"Russell County, Kentucky",17991
0500000US21209,"Scott County, Kentucky",57155
0500000US21211,"Shelby County, Kentucky",48065
0500000US21213,"Simpson County, Kentucky",19594
0500000US21215,"Spencer County, Kentucky",19490
0500000US21217,"Taylor County, Kentucky",26023
0500000US21219,"Todd County, Kentucky",12243
0500000US21221,"Trigg County, Kentucky",14061
0500000US21223,"Trimble County, Kentucky",8474
0500000US21225,"Union County, Kentucky",13668
0500000US21227,"Warren County, Kentucky",134554
0500000US21229,"Washington County, Kentucky",12027
0500000US21231,"Wayne County, Kentucky",19555
0500000US21233,"Webster County, Kentucky",13017
0500000US21235,"Whitley County, Kentucky",36712
0500000US21237,"Wolfe County, Kentucky",6562
0500000US21239,"Woodford County, Kentucky",26871
0500000US22001,"Acadia Parish, Louisiana",57576
0500000US22003,"Allen Parish, Louisiana",22750
0500000US22005,"Ascension Parish, Louisiana",126500
0500000US22007,"Assumption Parish, Louisiana",21039
0500000US22009,"Avoyelles Parish, Louisiana",39693
0500000US22011,"Beauregard Parish, Louisiana",36549
0500000US22013,"Bienville Parish, Louisiana",12981
0500000US22015,"Bossier Parish, Louisiana",128746
0500000US22017,"Caddo Parish, Louisiana",237848
0500000US22019,"Calcasieu Parish, Louisiana",216785
0500000US22021,"Caldwell Parish, Louisiana",9645
0500000US22023,"Cameron Parish, Louisiana",5617
0500000US22025,"Catahoula Parish, Louisiana",8906
0500000US22027,"Claiborne Parish, Louisiana",14170
0500000US22029,"Concordia Parish, Louisiana",18687
0500000US22031,"De Soto Parish, Louisiana",26812
0500000US22033,"East Baton Rouge Parish, Louisiana",456781
0500000US22035,"East Carroll Parish, Louisiana",7459
0500000US22037,"East Feliciana Parish, Louisiana",19539
0500000US22039,"Evangeline Parish, Louisiana",32350
0500000US22041,"Franklin Parish, Louisiana",19774
0500000US22043,"Grant Parish, Louisiana",22169
0500000US22045,"Iberia Parish, Louisiana",69929
0500000US22047,"Iberville Parish, Louisiana",30241
0500000US22049,"Jackson Parish, Louisiana",15031
0500000US22051,"Jefferson Parish, Louisiana",440781
0500000US22053,"Jefferson Davis Parish, Louisiana",32250
0500000US22055,"Lafayette Parish, Louisiana",241753
0500000US22057,"Lafourche Parish, Louisiana",97557
0500000US22059,"LaSalle Parish, Louisiana",14791
0500000US22061,"Lincoln Parish, Louisiana",48396
0500000US22063,"Livingston Parish, Louisiana",142282
0500000US22065,"Madison Parish, Louisiana",10017
0500000US22067,"Morehouse Parish, Louisiana",25629
0500000US22069,"Natchitoches Parish, Louisiana",37515
0500000US22071,"Orleans Parish, Louisiana",383997
0500000US22073,"Ouachita Parish, Louisiana",160368
0500000US22075,"Plaquemines Parish, Louisiana",23515
0500000US22077,"Pointe Coupee Parish, Louisiana",20758
0500000US22079,"Rapides Parish, Louisiana",130023
0500000US22081,"Red River Parish, Louisiana",7620
0500000US22083,"Richland Parish, Louisiana",20043
0500000US22085,"Sabine Parish, Louisiana",22155
0500000US22087,"St. Bernard Parish, Louisiana",43764
0500000US22089,"St. Charles Parish, Louisiana",52549
0500000US22091,"St. Helena Parish, Louisiana",10920
0500000US22093,"St. James Parish, Louisiana",20192
0500000US22095,"St. John the Baptist Parish, Louisiana",42477
0500000US22097,"St. Landry Parish, Louisiana",82540
0500000US22099,"St. Martin Parish, Louisiana",51767
0500000US22101,"St. Mary Parish, Louisiana",49406
0500000US22103,"St. Tammany Parish, Louisiana",264570
0500000US22105,"Tangipahoa Parish, Louisiana",133157
0500000US22107,"Tensas Parish, Louisiana",4147
0500000US22109,"Terrebonne Parish, Louisiana",109580
0500000US22111,"Union Parish, Louisiana",21107
0500000US22113,"Vermilion Parish, Louisiana",57359
0500000US22115,"Vernon Parish, Louisiana",48750
0500000US22117,"Washington Parish, Louisiana",45463
0500000US22119,"Webster Parish, Louisiana",36967
0500000US22121,"West Baton Rouge Parish, Louisiana",27199
0500000US22123,"West Carroll Parish, Louisiana",9751
0500000US22125,"West Feliciana Parish, Louisiana",15310
0500000US22127,"Winn Parish, Louisiana",13755
0500000US23001,"Androscoggin County, Maine",111139
0500000US23003,"Aroostook County, Maine",67105
0500000US23005,"Cumberland County, Maine",303069
0500000US23007,"Franklin County, Maine",29456
0500000US23009,"Hancock County, Maine",55478
0500000US23011,"Kennebec County, Maine",123642
0500000US23013,"Knox County, Maine",40607
0500000US23015,"Lincoln County, Maine",35237
0500000US23017,"Oxford County, Maine",57777
0500000US23019,"Penobscot County, Maine",152199
0500000US23021,"Piscataquis County, Maine",16800
0500000US23023,"Sagadahoc County, Maine",36699
0500000US23025,"Somerset County, Maine",50477
0500000US23027,"Waldo County, Maine",39607
0500000US23029,"Washington County, Maine",31095
0500000US23031,"York County, Maine",211972
0500000US24001,"Allegany County, Maryland",68106
0500000US24003,"Anne Arundel County, Maryland",588261
0500000US24005,"Baltimore County, Maryland",854535
0500000US24009,"Calvert County, Maryland",92783
0500000US24011,"Caroline County, Maryland",33293
0500000US24013,"Carroll County, Maryland",172891
0500000US24015,"Cecil County, Maryland",103725
0500000US24017,"Charles County, Maryland",166617
0500000US24019,"Dorchester County, Maryland",32531
0500000US24021,"Frederick County, Maryland",271717
0500000US24023,"Garrett County, Maryland",28806
0500000US24025,"Harford County, Maryland",260924
0500000US24027,"Howard County, Maryland",332317
0500000US24029,"Kent County, Maryland",19198
0500000US24031,"Montgomery County, Maryland",1062061
0500000US24033,"Prince George's County, Maryland",967201
0500000US24035,"Queen Anne's County, Maryland",49874
0500000US24037,"St. Mary's County, Maryland",113777
0500000US24039,"Somerset County, Maryland",24620
0500000US24041,"Talbot County, Maryland",37526
0500000US24043,"Washington County, Maryland",154705
0500000US24045,"Wicomico County, Maryland",103588
0500000US24047,"Worcester County, Maryland",52460
0500000US24510,"Baltimore city, Maryland",585708
0500000US25001,"Barnstable County, Massachusetts",228996
0500000US25003,"Berkshire County, Massachusetts",129026
0500000US25005,"Bristol County, Massachusetts",579200
0500000US25007,"Dukes County, Massachusetts",20600
0500000US25009,"Essex County, Massachusetts",809829
0500000US25011,"Franklin County, Massachusetts",71029
0500000US25013,"Hampden County, Massachusetts",465825
0500000US25015,"Hampshire County, Massachusetts",162308
0500000US25017,"Middlesex County, Massachusetts",1632002
0500000US25019,"Nantucket County, Massachusetts",14255
0500000US25021,"Norfolk County, Massachusetts",725981
0500000US25023,"Plymouth County, Massachusetts",530819
0500000US25025,"Suffolk County, Massachusetts",797936
0500000US25027,"Worcester County, Massachusetts",862111
0500000US26001,"Alcona County, Michigan",10167
0500000US26003,"Alger County, Michigan",8842
0500000US26005,"Allegan County, Michigan",120502
0500000US26007,"Alpena County, Michigan",28907
0500000US26009,"Antrim County, Michigan",23431
0500000US26011,"Arenac County, Michigan",15002
0500000US26013,"Baraga County, Michigan",8158
0500000US26015,"Barry County, Michigan",62423
0500000US26017,"Bay County, Michigan",103856
0500000US26019,"Benzie County, Michigan",17970
0500000US26021,"Berrien County, Michigan",154316
0500000US26023,"Branch County, Michigan",44862
0500000US26025,"Calhoun County, Michigan",134310
0500000US26027,"Cass County, Michigan",51589
0500000US26029,"Charlevoix County, Michigan",26054
0500000US26031,"Cheboygan County, Michigan",25579
0500000US26033,"Chippewa County, Michigan",36785
